YEAR	COUNTY_DISTRICT_CODE	DISTRICT_NAME	SCHOOL_CODE	SCHOOL_NAME	DROPOUT_9_12_COHORT	GRADUATES	GRADUATES_PCT	DROPOUT_9_12_COHORT_ASIAN	GRADUATES_ASIAN	GRADUATES_ASIAN_PCT	DROPOUT_9_12_COHORT_BLACK	GRADUATES_BLACK	GRADUATES_BLACK_PCT	DROPOUT_9_12_COHORT_HISPANIC	GRADUATES_HISPANIC	GRADUATES_COHORT_HISPANIC	DROPOUT_9_12_COHORT_INDIAN	GRADUATES_INDIAN	GRADUATES_INDIAN_PCT	DROPOUT_9_12_COHORT_WHITE	GRADUATES_WHITE	GRADUATES_WHITE_PCT	dropout_9_12_cohort_pacific_islander	graduates_pacific_islander	graduates_pi_pct	dropout_9_12_cohort_multiracial	graduates_multiracial	graduates_mr_pct	DROPOUT_9_12_COHORT_asian_pacific_islander	graduates_asian_pacific_islander	GRADUATES_api_PCT
2006	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	80	564	87.6	*	29	96.7	32	116	78.4	*	16		0	*	100	42	401	90.5									
2007	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	90	619	87.3	*	30	96.8	43	139	76.4	6	13		0	*	100	40	436	91.6									
2008	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	87	605	87.4	*	26	96.3	33	132	80	6	20		*	*	66.7	46	425	90.2	0	0	0	0	0	0	*	26	96.3
2009	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	93	641	87.3	*	41	95.3	36	136	79.1	*	30		0	*	100	52	430	89.2	0	0	0	0	0	0	*	41	95.3
2010	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	90	614	87.2	*	20	87	42	163	79.5	*	23		0	*	100	42	406	90.6	0	0	0	0	0	0	*	20	87
2011	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	77	592	88.5	0	21	100	25	126	83.4	6	27	24	0	*	100	46	386	89.4	0	0	0	0	29	100	0	21	100
2012	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	71	560	88.7	*	22	91.7	28	106	79.1	*	25	20	0	*	100	38	378	90.9	0	0	0	0	27	100	*	22	91.7
2013	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	62	545	89.8	*	20	95.2	21	107	83.6	*	21	20	*	*	50	32	358	91.8	0	0	0	*	38	95	*	20	95.2
2014	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	54	528	90.7	*	31	91.2	17	112	86.8	*	36	32	0	*	100	29	316	91.6	0	0	0	*	28	93.3	*	31	91.2
2015	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	48	359	88.2	*	27	96.4	18	59	76.6	*	25	24	0	0	0	24	231	90.6	0	0	0	*	17	89.5	*	27	96.4
2014	010093	COLUMBIA 93	1060	MURIEL W. BATTLE HIGH SCHOOL	0	*	100	0	0	0	0	0	0	0	0	0	0	0	0	0	*	100	0	0	0	0	0	0	0	0	0
2015	010093	COLUMBIA 93	1060	MURIEL W. BATTLE HIGH SCHOOL	21	290	93.2	0	*	100	12	87	87.9	*	9	7	0	*	100	7	170	96	0	0	0	*	18	94.7	0	*	100
2002	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	66	349	84.1	*	15	93.8	16	29	64.4	*	*		0	*	100	48	301	86.2									
2003	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	42	406	90.6	0	14	100	8	41	83.7	0	9		0	*	100	34	339	90.9									
2004	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	53	438	89.2	0	18	100	13	31	70.5	*	7		0	*	100	39	381	90.7									
2005	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	65	457	87.5	0	22	100	25	60	70.6	*	12		0	*	100	39	360	90.2									
2006	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	65	511	88.7	0	28	100	18	56	75.7	*	11		*	*	50	42	415	90.8									
2007	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	54	555	91.1	0	26	100	14	56	80	0	14		0	0	0	40	459	92									
2008	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	48	550	92	*	25	89.3	16	41	71.9	*	15		0	*	100	26	468	94.7	0	0	0	0	0	0	*	25	89.3
2009	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	44	528	92.3	0	25	100	15	58	79.5	*	11		0	*	100	28	433	93.9	0	0	0	0	0	0	0	25	100
2010	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	42	554	93	0	28	100	10	61	85.9	0	17		0	6	100	32	442	93.2	0	0	0	0	0	0	0	28	100
2011	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	32	583	94.8	0	33	100	11	72	86.7	*	14	14	0	*	100	19	430	95.8	0	0	0	0	31	100	0	33	100
2012	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	47	583	92.5	*	35	97.2	14	69	83.1	*	26	25	*	*	50	28	433	93.9	0	0	0	*	19	95	*	35	97.2
2013	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	22	551	96.2	0	39	100	6	56	90.3	*	21	21	0	0	0	14	406	96.7	0	0	0	*	29	96.7	0	39	100
2014	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	24	574	96	0	28	100	*	50	90.9	*	18	18	0	*	100	17	453	96.4	0	0	0	0	20	100	0	28	100
2015	010093	COLUMBIA 93	1075	ROCK BRIDGE SR. HIGH	16	446	96.5	0	24	100	*	37	90.2	*	18	18	0	*	100	11	346	96.9	0	0	0	0	20	100	0	24	100
2002	010093	COLUMBIA 93	1100	COLUMBIA AREA CAREER CTR.	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0									
2003	010093	COLUMBIA 93	1100	COLUMBIA AREA CAREER CTR.	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0									
